mortgage_id,mortgage_type,mortgage_payment_type,mortgage_property_value,mortgage_loan_amount,mortgage_initial_rate,mortgage_scheme,mortgage_state_updated
1ad9ba91c6541dd973cc924b6db7e311,owner_occupied,repayment,550000,290000,2.2,fixed,open
317ac7153428730d726b5a4b7a71122b,owner_occupied,repayment,100000,70000,2.9,fixed,not_interested
5fa4b3e4d22120eead8f9100c4f569a7,owner_occupied,repayment,150000,130000,2.1,fixed,open
f28af39dd73b97dabe87cc8258a3293e,owner_occupied,repayment,230000,110000,1.9,fixed,open
38c1ce04c7f6b3982075ea9dcf7b6bda,owner_occupied,repayment,1200000,90000,1.8,fixed,open
7aa9fba5cfa5b4fa96b29e597729d629,owner_occupied,repayment,180000,130000,2.3,fixed,open
340d82a0d0def0b47474ce94b910a38d,owner_occupied,repayment,300000,30000,2.3,fixed,open
2c03139ef5915c7c73a70f86ad2ec7ac,owner_occupied,repayment,210000,140000,1.9,fixed,open
a3d4dbd1e762e645de2da8524b98e993,owner_occupied,repayment,440000,140000,2,fixed,open
1f777a1f60f2cb1baab3b70879ce2d60,owner_occupied,repayment,130000,90000,2,fixed,open
4582a212f38386a4c43cdf52f9ec4419,owner_occupied,repayment,500000,170000,1.7,fixed,open
ded7f9c9e8b1261941f6198866807d82,owner_occupied,repayment,750000,200000,1.8,fixed,open
e44cff68a6bc48ddadceb2ad299e2710,owner_occupied,repayment,100000,70000,2,fixed,open
9bb8e4057d853e929a00c65a6a63b6ec,owner_occupied,repayment,180000,120000,2,fixed,open
15f3b0021cc379c5cd35d7970f767f10,owner_occupied,repayment,700000,70000,1.6,fixed,open
5e9626131c939415ba66fba1f41cd4de,owner_occupied,repayment,180000,120000,2.2,fixed,open
119a1e9ef3d1e5dac3dca9742d6c7000,owner_occupied,repayment,580000,160000,1.7,fixed,retained
eae22180955dd4e2f35284993aff18c0,owner_occupied,repayment,470000,90000,2.5,fixed,retained
d245ee5c0477dc2af8971586e54ff935,owner_occupied,repayment,400000,100000,1.5,fixed,retained
bd89d23724697adf22c5e248455c8fc9,owner_occupied,repayment,1200000,50000,2,fixed,open
e1d3731dac16dc476846e072edcea171,owner_occupied,repayment,250000,210000,2.2,fixed,open
71cdc3ee161c8aee8c4a454b797c69a6,owner_occupied,repayment,260000,220000,2,fixed,open
37e31e8550ab6f9aac2db9c3cc8ac184,owner_occupied,repayment,280000,120000,3.4,fixed,open
8cdea99329e25d29102550f5606d9938,owner_occupied,repayment,450000,170000,2,fixed,open
0d5fe32437f186cc838948dcf31317af,owner_occupied,repayment,280000,80000,1.7,fixed,open
12b5ff2f7475533251553cb91f62172f,owner_occupied,repayment,160000,120000,2.5,fixed,lost
6ad51701c2de3ed613c62e5db4e20a58,owner_occupied,repayment,80000,60000,2.1,fixed,lost
fd07906c8a32e9069805c97b97810025,owner_occupied,repayment,210000,160000,2,fixed,open
aad2ee8ea40bd0a5e49ca48341f815aa,owner_occupied,repayment,180000,140000,2,fixed,open
5c9c3703043fe21a82b644d595701239,owner_occupied,repayment,350000,280000,2.2,fixed,open
b6420db287b9f6a6f787d6c1004414fd,owner_occupied,repayment,360000,170000,1.7,fixed,lost
7bf97293e6e1cbc7935044cb413375bf,owner_occupied,repayment,180000,60000,2.2,fixed,open
e713057e7f8db3040aaab0ad9e9f86c2,owner_occupied,repayment,180000,80000,2,fixed,open
febce0d63c5a2e0dd1b3e4f206123076,owner_occupied,repayment,230000,140000,2.2,fixed,open
369730bca7ac434481484acdafbb6733,owner_occupied,repayment,200000,120000,1.7,fixed,lost
b8c11d9ff248eeb8102b6788b74a5318,owner_occupied,repayment,210000,170000,2.3,fixed,open
d8492b2ec9392c08a8230a5e14c8eda4,owner_occupied,repayment,370000,290000,2.5,fixed,open
3e23899275a0f39c09e553ecc008a99b,owner_occupied,repayment,140000,100000,2.2,fixed,found_refinance
e49a244773e03fc7e154a5d3a92a03fb,owner_occupied,repayment,250000,130000,1.8,fixed,open
6348469bc1fb915c8846c5fbfc663a7b,owner_occupied,repayment,280000,200000,1.5,tracker,lost
755c0ddd8f8c6d6754176158ff532229,owner_occupied,repayment,230000,130000,2,fixed,open
21c8f70ff645f602a3b4f395888eee20,owner_occupied,repayment,420000,120000,2.1,fixed,open
a2012c6ed2b115e83decd5c6d4e34d15,owner_occupied,repayment,160000,90000,1.9,fixed,retained
40e68e50ec32fb56673d1ba287da3468,owner_occupied,repayment,380000,120000,1.7,fixed,open
33260ed30151afdc838b2fd4fc16a447,owner_occupied,repayment,280000,170000,1.8,fixed,not_interested
93cb6694f20b751f94d9cfcc65a9c3b3,owner_occupied,repayment,240000,90000,2.1,fixed,open
56f3fd14aad45e2889c4d2f596c178b8,owner_occupied,repayment,180000,130000,1.9,fixed,retained
6825ffc00ac87a3b010c26c5bfcd7e72,owner_occupied,repayment,250000,160000,2.3,fixed,lost
db66c12f8b285ca1fc224b9fffbef748,owner_occupied,repayment,460000,180000,1.6,fixed,open
3ab8d4d9d9fc8976be264a3a9e9d562f,owner_occupied,repayment,380000,250000,2.1,fixed,open
c1ad2696849733e73e0d40e8eedfa2af,owner_occupied,repayment,360000,320000,2.5,fixed,open
433a1c9052bedbc3fb9d8bf792bfd640,owner_occupied,repayment,250000,130000,1.9,fixed,open
392cd66c8146b717c8058f4ffe0eb9a1,owner_occupied,repayment,220000,100000,2.1,fixed,lost
2618eb4982ec9cd40f0a4a9aa701ee21,owner_occupied,repayment,320000,110000,2.2,fixed,retained
826c61459c4b6403a71167a354d12e2e,owner_occupied,repayment,140000,110000,1.7,fixed,retained
e0ee96e5666e1460388d3b74011765f1,owner_occupied,repayment,300000,200000,1.5,fixed,open
122391e3bf778489d7f60b737a668061,owner_occupied,repayment,650000,110000,1.8,fixed,open
414efa293fdcccc47f144375105f74a7,owner_occupied,repayment,220000,40000,2.5,fixed,retained
42d726261bd93eec8cade57af05ae2e4,owner_occupied,repayment,550000,460000,2.7,fixed,retained
74ac6e62aa406f5dc0d4f05f2173810a,owner_occupied,repayment,320000,200000,1.9,fixed,not_interested
